nama,kategori,sub kategori,deskripsi,alamat,Jam Operasional buka,tutup,stasiun,Latitude ,Longitude ,google maps,gambar,mobile phone
Taman Literasi Martha Christina Tiahahu,publik,"Ruang Terbuka, Ruang Publik, Fasiltas Sosial, Alam, Keluarga, Edukasi","Taman Literasi Martha Christina Tiahahu merupakan ruang terbuka hijau modern di kawasan Blok M dengan fasilitas publik yang tertata rapi. Area baca, plaza komunitas, dan jalur pedestrian aktif dimanfaatkan untuk berbagai kegiatan kreatif dan sosial. Tempat ini cocok bagi keluarga dan komunitas yang ingin menikmati ruang terbuka yang nyaman, edukatif, dan ramah pejalan kaki.","Jl. Sultan Hasanuddin Dalam, Melawai, Kebayoran Baru",6:00,22:00,Blok M,-6.2443,106.7985,Martha Tiahahu Literacy Park,01 taman literasi Martha Tiahahu.jpg,6281399008872
Taman Bendera Pusaka (Taman Langsat),publik,"Ruang Terbuka, Olah Raga, Ruang Publik, Plaza Terbuka, Fasiltas Sosial, Alam, Keluarga, Rekreasi","Taman kota cukup besar dengan danau kecil, area jogging track, dan vegetasi rindang. Traffic tinggi pagi & sore (olahraga & komunitas).","Jl. Barito, Kramat Pela, Kebayoran Baru",6:00,18:00,Blok M,-6.24553,106.79377,Taman Bendera Pusaka,04 Taman Bendera Pusaka.webp,6281399008872
M Bloc Space,publik,"Mall / Pusat Belanja, Co-Working Space","M Bloc Space di kawasan Panglima Polim merupakan ruang kreatif terpadu dengan konsep komunitas dan gaya hidup urban. Area kuliner, toko independen, serta panggung acara rutin menghadirkan pengalaman yang dinamis dan interaktif. Tempat ini cocok bagi generasi muda dan komunitas yang ingin menikmati ruang kreatif dalam suasana terbuka dan kolaboratif.","Jl. Panglima Polim No.37, Melawai, Kebayoran Baru",10:00,22:00,Blok M,-6.24148,106.79898,M Bloc Space,06 mbloc space.webp,6281399008872
Blok M Square,publik,"Mall / Pusat Belanja, Plaza Terbuka","Blok M Square di kawasan Blok M merupakan pusat belanja populer dengan konsep mall dan area UMKM yang dinamis. Berbagai produk fesyen, elektronik, hingga kuliner lokal tersedia dengan pilihan harga yang beragam. Tempat ini cocok bagi pengunjung yang ingin berbelanja santai sambil menikmati suasana ramai khas pusat kota.","Jl. Melawai Raya No.3, Kebayoran Baru",10:00,22:00,Blok M,-6.24443,106.80062,Blok M Square,02 blok M Square.jpg,6281399008872
Blok M Plaza,publik,"Mall / Pusat Belanja, Plaza Terbuka","Blok M Plaza di kawasan Melawai merupakan pusat perbelanjaan strategis dengan akses langsung ke MRT. Beragam tenant ritel, kuliner, dan layanan perbankan tersedia untuk kebutuhan harian pengunjung. Tempat ini cocok bagi pekerja dan keluarga yang menginginkan kemudahan berbelanja dalam lokasi yang terintegrasi dan praktis.",Jl. Bulungan No.76,10:00,22:00,Blok M,-6.24387,106.79764,Plaza Blok M,01 blok M plaza.jpg,6281399008872
Little Tokyo,publik,,"Little Tokyo di kawasan Melawai merupakan klaster kuliner Jepang dengan atmosfer yang autentik dan khas. Beragam restoran, izakaya, dan kedai tematik menghadirkan cita rasa yang beragam bagi pengunjung. Tempat ini cocok bagi pecinta kuliner yang ingin merasakan pengalaman makan bernuansa Jepang dalam suasana yang hidup dan unik.","Jl. Melawai 6 & 9, Kebayoran Baru",11:00,23:00,Blok M,-6.24421,106.79879,Little Tokyo Blok M,08 little-tokyo.jpg,6281399008872
Pasaraya Blok M,publik,Mall / Pusat Belanja,"Pasaraya Blok M merupakan pusat perbelanjaan legendaris dengan konsep department store dan supermarket modern. Beragam kebutuhan rumah tangga, produk lokal, hingga area kuliner tersedia dalam satu bangunan yang luas. Tempat ini cocok bagi keluarga yang ingin berbelanja lengkap dalam suasana yang nyaman dan tertata.","Jl. Iskandarsyah II No.2, Kebayoran Baru",10:00,22:00,Blok M,-6.24367,106.80267,Pasaraya Blok M,05 pasaraya.jpg,6281399008872
Blok M Hub,publik,Mall / Pusat Belanja,"Blok M Hub merupakan kawasan integrasi transportasi modern yang menghubungkan berbagai moda dalam satu titik strategis. Area transit, halte, dan jalur pejalan kaki dirancang untuk mendukung mobilitas yang efisien dan terarah. Tempat ini cocok bagi komuter yang mengutamakan konektivitas cepat dan akses yang terorganisir.","Jl. Sultan Hasanuddin No.1, Melawai, Kebayoran Baru",10:00,22:00,Blok M,-6.2434,106.79942,Blok M Hub Gojek,10 smp-blok-m-hub a.jpg,6281399008872
Skybridge Blok M,publik,Infastruktur Pejalan,Skybridge Blok M merupakan jalur penghubung pejalan kaki yang terintegrasi langsung dengan stasiun MRT dan pusat perbelanjaan. Fasilitas beratap dan akses yang aman mendukung arus mobilitas harian yang tinggi. Tempat ini cocok bagi komuter yang mengutamakan kenyamanan berjalan kaki dalam sistem transportasi yang saling terhubung.,Jl. Bulungan No.76,5:00,0:00,Blok M,-6.24396,106.79792,Plaza Blok M,01 skybridge MRT-Blok M Plaza.webp,6281399008872
Underpass Pedestrian Blok M,publik,"Ruang Publik, Infastruktur Pejalan",Underpass Pedestrian Blok M merupakan akses bawah tanah yang menghubungkan area terminal dan pusat aktivitas sekitar. Jalur ini membantu pejalan kaki menyeberang dengan lebih aman di tengah kepadatan lalu lintas. Tempat ini cocok bagi pengguna transportasi umum yang membutuhkan akses cepat dan terlindung dari cuaca.,Jl. Melawai Raya (akses bawah menuju area terminal lama),5:00,22:00,Blok M,-6.24328,106.80107,Terminal bus Blok M,02 Underpass Pedestrian (Akses ke Terminal Lama Blok M).webp,6281399008872
Polsek Kebayoran Baru,publik,Fasiltas Sosial,Lorem ipsum,"Jl. Kyai Maja No.62, Kebayoran Baru",10:00,22:00,Blok M,-6.24136,106.78959,Metro Police Kebayoran Baru,03 Polsek Kebayoran Baru.jpg,6281399008872
Kantor Kelurahan Melawai,publik,Fasiltas Sosial,Lorem ipsum,"Jl. Melawai Raya No.197, Kebayoran Baru",10:00,22:00,Blok M,-6.2484,106.80274,Kantor Lurah Melawai,02 Kantor Lurah Melawai.jpg,6281399008872
Masjid Nurul Iman Blok M,publik,"Ruang Publik, Religi, Fasilitas Keagamaan, Fasiltas Sosial",Lorem ipsum,Blok M Plaza. Jl. Bulungan No.76,5:00,21:00,Blok M,-6.2459,106.7979,Plaza Blok M,01 Masjid Nurul Iman Blok M.jpg,6281399008872
