nama,kategori,sub kategori,deskripsi,alamat,Jam Operasional buka,tutup,stasiun,Latitude ,Longitude ,google maps,gambar,mobile phone
Monumen Nasional (Monas),Wisata,"Ruang Terbuka, Olah Raga, Ruang Publik, Infastruktur Pejalan, Fasiltas Sosial, Sejarah, Keluarga, Rekreasi","Monumen Nasional atau Monas adalah ikon Jakarta sekaligus penanda perjalanan panjang Indonesia sebagai bangsa. Di dalamnya terdapat museum sejarah yang menggambarkan perjuangan rakyat Indonesia sejak masa penjajahan hingga kemerdekaan. Area taman yang luas menjadikan Monas tempat favorit keluarga untuk belajar sejarah sambil bersantai. Dari puncaknya, pengunjung bisa melihat panorama Jakarta dari ketinggian, menjadikan kunjungan ke Monas bukan hanya edukatif, tapi juga berkesan. ","Merdeka Square, Jalan Lapangan Monas, Gambir, Kecamatan Gambir, Kota Jakarta Pusat",8:00,15:00,Blok M,-6.175392,106.827153,National Monument,Alam-Ruang-Terbuka 01 monas.jpg,
Museum Nasional (Museum Gajah),Wisata,"Sejarah, Museum, Budaya, Seni, Edukasi","Museum Nasional Indonesia menyimpan ribuan koleksi benda bersejarah yang merekam perjalanan peradaban Nusantara. Dari arca batu, prasasti kuno, hingga artefak budaya dari berbagai daerah, museum ini mengajak pengunjung memahami keragaman Indonesia secara utuh. Dengan ruang pamer modern dan narasi yang tertata, museum ini cocok untuk keluarga dan pelajar yang ingin belajar sejarah dengan cara yang lebih santai dan visual. ","Jl. Medan Merdeka Barat No.12, Gambir, akarta Pusat",8:00,15:00,Blok M,-6.176402,106.82159,National Museum of Indonesia,Sejarah-Museum 01-museum gajah.jpg,
Museum Fatahillah,Wisata,"Ruang Terbuka, Ruang Publik, Plaza Terbuka, Fasiltas Sosial, Sejarah, Museum, Budaya, Edukasi","Museum Fatahillah berada di jantung Kota Tua Jakarta dan menjadi saksi perubahan Batavia hingga Jakarta modern. Bangunan peninggalan kolonial ini menyimpan cerita tentang pemerintahan, kehidupan masyarakat, dan dinamika kota pada masa lalu. Berkunjung ke sini memberi pengalaman berjalan menyusuri sejarah Jakarta sambil menikmati suasana kawasan Kota Tua yang hidup dan penuh aktivitas.","Jl. Fatahillah No.1, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat",9:00,15:00,Blok M,-6.1352,106.813301,Jakarta History Museum,Sejarah-Museum 02-museum fatahilah.jpg,
Museum Wayang,Wisata,"Sejarah, Museum, Budaya, Seni, Edukasi","Museum Wayang memperkenalkan seni pertunjukan tradisional Indonesia melalui koleksi wayang dari berbagai daerah dan negara. Pengunjung dapat mengenal tokoh-tokoh pewayangan, filosofi cerita, serta perkembangan seni wayang dari masa ke masa. Museum ini cocok untuk keluarga yang ingin mengenalkan budaya lokal kepada anak-anak dengan cara yang ringan dan menarik. ","Jalan Pintu Besar Utara No.27 Pinangsia, Kota Tua",9:00,15:00,Blok M,-6.13573,106.813902,Wayang Museum,Sejarah-Museum 03-museum wayang.jpg,
Museum Seni Rupa & Keramik,Wisata,"Sejarah, Museum, Seni, Edukasi, Budaya",Museum Seni Rupa dan Keramik menampilkan karya seni visual dan keramik dari berbagai periode. Koleksinya mencerminkan perkembangan seni rupa Indonesia sekaligus pengaruh budaya asing. Ruang-ruang pamer yang tenang menjadikan museum ini tempat yang tepat untuk menikmati seni sambil mengenalkan anak pada kreativitas dan ekspresi visual sejak dini.,"Jl. Pos Kota No.2 9, ",9:00,15:00,Blok M,-6.1355,106.8146,Museum of Fine Art and Ceramics,Sejarah-Museum 04-museum keramik.jpg,
Museum Sumpah Pemuda,Wisata,"Sejarah, Museum, Edukasi, Infastruktur Pejalan","Museum Sumpah Pemuda mengenang peristiwa penting lahirnya semangat persatuan bangsa Indonesia. Setiap ruang menampilkan cerita tentang peran generasi muda dalam perjuangan nasional. Museum ini menjadi tempat edukatif yang tepat untuk keluarga dan pelajar dalam memahami nilai persatuan, nasionalisme, dan identitas bangsa. ","Jl. Kramat Raya No.106, Kwitang",8:00,16:00,Blok M,-6.1901,106.8423,Museum Sumpah Pemuda,Sejarah-Museum 05-museum-sumpah-pemuda.jpg,
Museum Joang 45,Wisata,"Sejarah, Museum, Edukasi, Infastruktur Pejalan","Museum Joang 45 menyajikan kisah perjuangan Indonesia menjelang dan setelah proklamasi kemerdekaan. Koleksi foto, dokumen, dan artefak menghadirkan suasana masa revolusi yang penuh semangat. Berkunjung ke sini memberi pemahaman lebih dekat tentang pengorbanan dan perjuangan para tokoh bangsa.","Jl. Menteng Raya No.31 1, Keboon Sirih",9:00,15:00,Blok M,-6.1867,106.8369,Gedung Joang '45,Sejarah-Museum 06-museum-joang-45.jpg,
Museum Bank Indonesia,Wisata,"Sejarah, Museum, Edukasi","Museum Bank Indonesia menyajikan perjalanan sejarah ekonomi dan sistem keuangan Indonesia dalam konsep yang modern dan interaktif. Pengunjung diajak memahami peran uang, perbankan, dan kebijakan ekonomi dalam kehidupan sehari-hari. Museum ini cocok untuk wisata edukasi keluarga, terutama bagi anak-anak yang mulai belajar tentang dunia ekonomi secara sederhana. ","Jl. Pintu Besar Utara No.3, Pinangsia, Kota Tua",8:00,15:00,Blok M,-6.137127,106.813325,Museum Bank Indonesia,Sejarah-Museum 07-Museum-Bank-Indonesia.jpg,
Museum Bank Mandiri,Wisata,"Sejarah, Museum, Edukasi","Museum Bank Mandiri menempati bangunan bersejarah dengan arsitektur klasik yang kuat. Di dalamnya tersimpan arsip, mesin, dan dokumen yang merekam perkembangan perbankan nasional. Suasana bangunan yang autentik membuat pengunjung merasakan langsung perjalanan ekonomi Indonesia dari masa ke masa dalam balutan sejarah. ","Museum Mandiri, Jalan Lapangan Stasiun No.1, Pinangsia",9:00,15:00,Blok M,-6.1378,106.8129,Museum Mandiri,Sejarah-Museum 08-Museum Bank Mandiri.jpg,
Pelabuhan Sunda Kelapa,Wisata,"Ruang Terbuka, Ruang Publik, Sejarah, Alam, Keluarga","Pelabuhan Sunda Kelapa adalah cikal bakal Jakarta sebagai kota pelabuhan dan pusat perdagangan. Hingga kini, kapal-kapal kayu tradisional masih beroperasi, menciptakan suasana yang khas. Tempat ini menawarkan pengalaman unik melihat aktivitas maritim sambil belajar sejarah perdagangan Nusantara dan perkembangan ","Jl. Baruna II No.5 11, RT.11/RW.8, Ancol",24 Jam,24 Jam,Blok M,-6.1269,106.807,Pelabuhan Sunda Kelapa,Sejarah-Museum 09-pelabuhan-sunda-kelapa.jpg,
